DISTRITO,POP. TOTAL 2022,POP. URB. 2022,CIDADE,DS_ZONA_SP,ENDERECO,QT_HOMENS_<=19,QT_HOMENS_20_34,QT_HOMENS_34_50,QT_HOMENS_50_64,QT_HOMENS_65+,QT_MULHERES_<=19,QT_MULHERES_20_34,QT_MULHERES_34_50,QT_MULHERES_50_64,QT_MULHERES_65+,TOTAL_HOMENS,TOTAL_MULHERES,TOTAL_GERAL,LEITOS,PRESSAO_BAIRRO,FL_PERIFERIA,IDADE MÉDIA AO MORRER_x,PROPORÇÃO ADOLESCENTE GRÁVIDAS(%),TEMPO MÉDIO DESLOCAMENTO NO TRANSPORTE IDA AO TRABALHO (MIN),TEMPO MÉDIO ATÉ AGENDAMENTO DE CONSULTAS (DIAS),IDADE MÉDIA AO MORRER_y,DOMICÍLIOS EM FAVELAS (%),POPULAÇÃO PRETA E PARDA (%)_x,POPULAÇÃO PRETA E PARDA (%)_y
VILA MARIANA,127286,127286,São Paulo,Zona Sul,[NaN],40662,12038,6587,2371,276,40569,13163,7707,3348,559,61936,65349,127286,2.0,63643.0,0,78.3,1.7,31.0,14.0,78.3,0.8,8.7,8.7
VILA MARIA,108543,108543,São Paulo,Zona Norte,[NaN],34674,10266,5617,2021,236,34595,11225,6572,2855,477,52816,55726,108543,2.0,54271.5,0,66.2,9.3,38.0,16.0,67.4,13.0,34.4,34.4
VILA MARIANA,127286,127286,São Paulo,Zona Sul,[NaN],40662,12038,6587,2371,276,40569,13163,7707,3348,559,61936,65349,127286,4.0,31821.5,0,78.3,1.7,31.0,14.0,78.3,0.8,8.7,8.7
SAPOPEMBA,266715,266715,São Paulo,Zona Leste,"[""JOAO LOPES DE LIMA,R,1151"", ""BATISTA FERGUSIO,R,1016"", ""PEDRO DE CASTRO VELHO,R,523"", ""DAVID DE MELO LOPES,R,86"", ""DAS ESTERLINAS,R,124"", ""JOAO LOPES DE LIMA, R., 1151"", ""MANUEL FRANCA DOS SANTOS.AV,174"", ""ANTONIO LAZARO,R,226"", ""LEVI LANDAU,R,23"", ""POEMA DAS AMERICAS,R,12"", ""ORATORIO,DO,AV,6557"", ""VILANOVA ARTIGAS,ARQ,AV,1071"", ""BERNARDINO FERRAZ,R,54"", ""VILANOVA ARTIGAS,ARQ,AV,515"", ""AUGUSTIN LUBERTI, 1102 (ANTIGA DOIS,AV,1102)"", ""IACAPE,R,302"", ""JIM CLARK,R,10C"", ""BOLEADEIRAS,R,127"", ""CASA GRANDE,ESTRADA,DA,1258"", ""PALMEIRA BACARA,R,36"", ""EDGAR LOURENCO PINTO,SGTO,R,116""]",85203,25225,13803,4968,580,85009,27583,16151,7016,1173,129781,136933,266715,50.0,5334.3,0,65.4,9.9,50.0,26.0,65.4,19.0,41.7,41.7
IPIRANGA,116271,116271,São Paulo,Zona Sul,[NaN],37143,10996,6017,2165,252,37058,12024,7040,3058,511,56576,59694,116271,28.0,4152.535714285715,0,73.5,5.4,32.0,31.0,73.5,,22.0,22.0
LIBERDADE,66056,66056,São Paulo,Zona Central,[NaN],21101,6247,3418,1230,143,21053,6831,4000,1737,290,32142,33913,66056,16.0,4128.5,0,73.6,4.1,33.0,35.0,73.6,0.3,17.9,17.9
IPIRANGA,116271,116271,São Paulo,Zona Sul,[NaN],37143,10996,6017,2165,252,37058,12024,7040,3058,511,56576,59694,116271,30.0,3875.7,0,73.5,5.4,32.0,31.0,73.5,,22.0,22.0
MOEMA,81899,81899,São Paulo,Zona Sul,[NaN],26163,7746,4238,1525,178,26103,8469,4959,2154,360,39851,42047,81899,22.0,3722.681818181818,0,79.8,0.4,31.0,23.0,79.8,0.0,5.8,5.8
VILA ANDRADE,168669,168669,São Paulo,Zona Sul,[NaN],53882,15952,8729,3141,366,53759,17443,10213,4437,741,82073,86595,168669,49.0,3442.2244897959185,0,65.9,8.4,40.0,7.0,66.2,32.7,41.4,41.4
CAMBUCI,45163,45163,São Paulo,Zona Sul,[NaN],14427,4271,2337,841,98,14394,4670,2734,1188,198,21975,23187,45163,14.0,3225.9285714285716,0,,,,,72.8,0.0,21.0,21.0
VILA MARIANA,127286,127286,São Paulo,Zona Sul,[NaN],40662,12038,6587,2371,276,40569,13163,7707,3348,559,61936,65349,127286,45.0,2828.5777777777776,0,78.3,1.7,31.0,14.0,78.3,0.8,8.7,8.7
MOOCA,80880,80880,São Paulo,Zona Leste,"[""MARINA CRESPI,R,91"", ""VITOANTONIO DEL VECCHIO,R,151"", ""TAQUARI, R., 549"", ""TAQUARI,R,549"", ""JAIBARAS,R,251"", ""CIRO PONTES,PCA,S/N"", ""ALCANTARA MACHADO,AV,2576"", ""PASCOAL MOREIRA,R,486"", ""JUVENTUS,R,562"", ""PADRE CARLOS DA SILVA, R., 160"", ""LUIZ GREGNANIN, R., 341"", ""TAQUARI,549,1+ AND""]",25837,7649,4185,1506,175,25778,8364,4897,2127,355,39355,41524,80880,31.0,2609.032258064516,0,74.9,4.5,32.0,9.0,74.9,0.2,12.3,12.3
VILA MARIANA,127286,127286,São Paulo,Zona Sul,[NaN],40662,12038,6587,2371,276,40569,13163,7707,3348,559,61936,65349,127286,50.0,2545.72,0,78.3,1.7,31.0,14.0,78.3,0.8,8.7,8.7
VILA MATILDE,103558,103558,São Paulo,Zona Leste,"[""ALVES MALDONADO,R,128"", ""HERCIILIA,R,452"", ""ANTONIO LINDORO DA SILVA,R,295"", ""EDGAR GARCIA VIEIRA,R,DR,130"", ""FREDERICO BROTERO,DR,R,22"", ""DR LUIZ CARLOS, R., 747"", ""JOAO MARCHIORI,R,59"", ""MUAN\u00b4\u2510\u00a2, R., 214"", ""ANTONIO LIDORIO DA SILVA,R,265"", ""MARCONDES DE BRITO,R,1304""]",33082,9794,5359,1929,225,33006,10709,6271,2724,455,50390,53167,103558,42.0,2465.6666666666665,0,71.6,6.3,41.0,26.0,71.6,0.6,25.4,25.4
IPIRANGA,116271,116271,São Paulo,Zona Sul,[NaN],37143,10996,6017,2165,252,37058,12024,7040,3058,511,56576,59694,116271,50.0,2325.42,0,73.5,5.4,32.0,31.0,73.5,,22.0,22.0
PIRITUBA,179724,179724,São Paulo,Zona Oeste,[NaN],57413,16998,9301,3347,390,57283,18586,10883,4727,790,87452,92271,179724,103.0,1744.893203883495,0,67.9,7.2,46.0,21.0,67.9,,31.3,31.3
RIO PEQUENO,131631,131631,São Paulo,Zona Oeste,[NaN],42050,12449,6812,2452,286,41954,13613,7971,3462,578,64050,67580,131631,81.0,1625.0740740740741,0,68.7,,39.0,6.0,69.2,20.4,32.8,32.8
JABAQUARA,214982,214982,São Paulo,Zona Sul,[NaN],68677,20333,11125,4004,467,68520,22233,13018,5655,945,104608,110373,214982,153.0,1405.111111111111,0,69.6,7.9,37.0,19.0,70.2,16.4,34.7,34.7
SAPOPEMBA,266715,266715,São Paulo,Zona Leste,"[""JOAO LOPES DE LIMA,R,1151"", ""BATISTA FERGUSIO,R,1016"", ""PEDRO DE CASTRO VELHO,R,523"", ""DAVID DE MELO LOPES,R,86"", ""DAS ESTERLINAS,R,124"", ""JOAO LOPES DE LIMA, R., 1151"", ""MANUEL FRANCA DOS SANTOS.AV,174"", ""ANTONIO LAZARO,R,226"", ""LEVI LANDAU,R,23"", ""POEMA DAS AMERICAS,R,12"", ""ORATORIO,DO,AV,6557"", ""VILANOVA ARTIGAS,ARQ,AV,1071"", ""BERNARDINO FERRAZ,R,54"", ""VILANOVA ARTIGAS,ARQ,AV,515"", ""AUGUSTIN LUBERTI, 1102 (ANTIGA DOIS,AV,1102)"", ""IACAPE,R,302"", ""JIM CLARK,R,10C"", ""BOLEADEIRAS,R,127"", ""CASA GRANDE,ESTRADA,DA,1258"", ""PALMEIRA BACARA,R,36"", ""EDGAR LOURENCO PINTO,SGTO,R,116""]",85203,25225,13803,4968,580,85009,27583,16151,7016,1173,129781,136933,266715,199.0,1340.2763819095478,0,65.4,9.9,50.0,26.0,65.4,19.0,41.7,41.7
PIRITUBA,179724,179724,São Paulo,Zona Oeste,[NaN],57413,16998,9301,3347,390,57283,18586,10883,4727,790,87452,92271,179724,136.0,1321.5,0,67.9,7.2,46.0,21.0,67.9,,31.3,31.3
CIDADE DUTRA,182459,182438,São Paulo,Zona Sul,[NaN],58287,17256,9442,3398,396,58154,18869,11048,4799,802,88783,93675,182459,141.0,1294.0354609929077,0,65.6,9.5,46.0,16.0,66.1,8.7,45.5,45.5
MOEMA,81899,81899,São Paulo,Zona Sul,[NaN],26163,7746,4238,1525,178,26103,8469,4959,2154,360,39851,42047,81899,64.0,1279.671875,0,79.8,0.4,31.0,23.0,79.8,0.0,5.8,5.8
MORUMBI,43690,43690,São Paulo,Zona Sul,[NaN],13957,4132,2261,813,95,13925,4518,2645,1149,192,21259,22430,43690,38.0,1149.7368421052631,0,71.9,8.8,35.0,3.0,71.9,14.6,19.5,19.5
ITAQUERA,210960,210960,São Paulo,Zona Leste,"[""AMERICO SALVADOR NOVELLI,R,265"", ""PAULINO SERQUEIRA,R,01"", ""TANTAS PALAVRAS,R,59"", ""IBIAJARA,R,804"", ""IPOPOCA,R,61"", ""AUGUSTO CARLOS BAUMANN,R,1074"", ""PORTO XAVIER,R,57"", ""CORRE CORRE,R,30"", ""AUGUSTO CARLOS BAUMANN,R,623"", ""PORTO XAVIER, R. 66"", ""AUGUSTO ANTUNES,R,1631"", ""VITOR JOSE DE CASTRO,R,84"", ""CATARINA LOPES,R,450"", ""AMERICO SALVADOR NOVELLI, R., 36"", ""JOAO BATISTA CONTI,PROF,AV,331""]",67392,19952,10917,3929,458,67238,21817,12774,5549,927,102651,108308,210960,185.0,1140.3243243243244,0,65.3,8.1,51.0,33.0,65.3,,45.7,45.7
LIBERDADE,66056,66056,São Paulo,Zona Central,[NaN],21101,6247,3418,1230,143,21053,6831,4000,1737,290,32142,33913,66056,62.0,1065.4193548387098,0,73.6,4.1,33.0,35.0,73.6,0.3,17.9,17.9
JABAQUARA,214982,214982,São Paulo,Zona Sul,[NaN],68677,20333,11125,4004,467,68520,22233,13018,5655,945,104608,110373,214982,210.0,1023.7238095238096,0,69.6,7.9,37.0,19.0,70.2,16.4,34.7,34.7
BELA VISTA,60024,60024,São Paulo,Zona Central,[NaN],19175,5677,3106,1118,130,19131,6207,3634,1579,263,29207,30816,60024,64.0,937.875,0,73.9,5.8,30.0,29.0,73.9,0.0,21.6,21.6
MOOCA,80880,80880,São Paulo,Zona Leste,"[""MARINA CRESPI,R,91"", ""VITOANTONIO DEL VECCHIO,R,151"", ""TAQUARI, R., 549"", ""TAQUARI,R,549"", ""JAIBARAS,R,251"", ""CIRO PONTES,PCA,S/N"", ""ALCANTARA MACHADO,AV,2576"", ""PASCOAL MOREIRA,R,486"", ""JUVENTUS,R,562"", ""PADRE CARLOS DA SILVA, R., 160"", ""LUIZ GREGNANIN, R., 341"", ""TAQUARI,549,1+ AND""]",25837,7649,4185,1506,175,25778,8364,4897,2127,355,39355,41524,80880,90.0,898.6666666666666,0,74.9,4.5,32.0,9.0,74.9,0.2,12.3,12.3
VILA MARIANA,127286,127286,São Paulo,Zona Sul,[NaN],40662,12038,6587,2371,276,40569,13163,7707,3348,559,61936,65349,127286,146.0,871.8219178082192,0,78.3,1.7,31.0,14.0,78.3,0.8,8.7,8.7
CIDADE TIRADENTES,194177,194160,São Paulo,Zona Leste,"[""CADERNO DE VIAGEM,R,55"", ""FRANCISCO CARDOSO JR,R,10"", ""GUILHERME DE ABREU SOBRE,DR,R,485"", ""FERNANDO GANGA,R,14"", ""LUIS BORDESE,R,96"", ""METALURGICOS,DOS,AV,1797"", ""TEXTEIS,DOS,AV,3765"", ""FRANCISCO JOSE VIANA,R,708"", ""INACIO PINTO LIMA,R,35"", ""LUIS BORDESE,R,63"", ""METALURGICOS,DOS,AV,2820"", ""MANUEL MOSCOSO,R,15"", ""ESTRADA DO IGUATEMI, 2751"", ""EDUARDO REUTER,R,678"", ""TEXTEIS,DOS,AV,512"", ""MANOEL OLIVEIRA RAMOS,R, S/N"", ""GONCALVES NINA,R,58"", ""INACIO DE MOMTEIRO, S/N""]",62031,18365,10049,3617,422,61889,20081,11758,5108,854,94485,99691,194177,223.0,870.7488789237668,0,59.4,13.3,69.0,19.0,59.4,,56.1,56.1
CACHOEIRINHA,143366,143366,São Paulo,Zona Oeste,[NaN],45799,13559,7419,2670,311,45694,14826,8681,3771,630,69760,73605,143366,176.0,814.5795454545455,0,63.7,9.3,45.0,26.0,63.7,20.0,43.3,43.3
LIBERDADE,66056,66056,São Paulo,Zona Central,[NaN],21101,6247,3418,1230,143,21053,6831,4000,1737,290,32142,33913,66056,83.0,795.855421686747,0,73.6,4.1,33.0,35.0,73.6,0.3,17.9,17.9
JARDIM PAULISTA,81859,81859,São Paulo,Zona Sul,[NaN],26150,7742,4236,1524,178,26090,8465,4957,2153,360,39831,42027,81859,104.0,787.1057692307693,0,80.0,1.3,32.0,,80.0,0.0,8.5,8.5
CACHOEIRINHA,143366,143366,São Paulo,Zona Oeste,[NaN],45799,13559,7419,2670,311,45694,14826,8681,3771,630,69760,73605,143366,183.0,783.4207650273224,0,63.7,9.3,45.0,26.0,63.7,20.0,43.3,43.3
MOOCA,80880,80880,São Paulo,Zona Leste,"[""MARINA CRESPI,R,91"", ""VITOANTONIO DEL VECCHIO,R,151"", ""TAQUARI, R., 549"", ""TAQUARI,R,549"", ""JAIBARAS,R,251"", ""CIRO PONTES,PCA,S/N"", ""ALCANTARA MACHADO,AV,2576"", ""PASCOAL MOREIRA,R,486"", ""JUVENTUS,R,562"", ""PADRE CARLOS DA SILVA, R., 160"", ""LUIZ GREGNANIN, R., 341"", ""TAQUARI,549,1+ AND""]",25837,7649,4185,1506,175,25778,8364,4897,2127,355,39355,41524,80880,104.0,777.6923076923077,0,74.9,4.5,32.0,9.0,74.9,0.2,12.3,12.3
VILA MARIANA,127286,127286,São Paulo,Zona Sul,[NaN],40662,12038,6587,2371,276,40569,13163,7707,3348,559,61936,65349,127286,168.0,757.6547619047619,0,78.3,1.7,31.0,14.0,78.3,0.8,8.7,8.7
ITAIM PAULISTA,205295,205295,São Paulo,Zona Leste,"[""MARECHAL TITO,AV,6035"", ""JOSE DA CRUZ CAMARGO,R,174"", ""ITAJUIBE,R,1910"", ""ILHA DE S+O FRANCISCO,R,155"", ""VALENTE DE NOVAIS,R,51"", ""TIMOTEO CORREIA GOES,R,100"", ""VALENTE DE NOVAIS,R,9"", ""BOIGUACU,R,51"", ""ILHA DO ARVOREDO,R,10"", ""MARECHAL TITO, AV.,5483"", ""GENERAL PEREIRA DE BERREDO,R.,275"", ""ANTONIO LEME DA GUERRA,R,182"", ""JOAO CARLOS LEITE PENTEADO,R,140"", ""KEMEL ADDAS,AV,1031"", ""JOSE LEVI SOBRINHO,MAJ,PCA,139""]",65582,19416,10624,3824,446,65433,21231,12431,5400,902,99894,105400,205294,307.0,668.7100977198697,0,64.2,10.5,63.0,20.0,64.2,,54.8,54.8
PENHA,132452,132452,São Paulo,Zona Leste,"[""GERMANO,FREI,R,50"", ""NOSSA SENHORA DA PENHA,PCA,55"", ""NOSSA SENHORA DA PENHA, PCA, 56"", ""NOSSA SENHORA DA PENHA,PCA, 55"", ""SOCRATES,GAL,R,145"", ""GUILHERME RUDGE,R., 35"", ""MARIA CARLOTA,R., 631"", ""MADALENA JULIA,R,60"", ""CANDAPUI,R,492"", ""CANDAPUI, R., 492"", ""COREMU,R,63"", ""GABRIELA MISTRAL,AV,1168"", ""ANGELO ZANCHI,MAJOR,R,725""]",42312,12527,6854,2467,288,42216,13698,8020,3484,582,64450,68001,132452,203.0,652.4729064039409,0,71.3,7.3,37.0,29.0,71.3,,23.9,23.9
SANTO AMARO,85349,85349,São Paulo,Zona Sul,[NaN],27265,8072,4417,1589,185,27203,8826,5168,2245,375,41530,43818,85349,132.0,646.5833333333334,0,78.2,1.5,29.0,26.0,78.2,0.2,10.3,10.3
VILA MARIANA,127286,127286,São Paulo,Zona Sul,[NaN],40662,12038,6587,2371,276,40569,13163,7707,3348,559,61936,65349,127286,204.0,623.9509803921569,0,78.3,1.7,31.0,14.0,78.3,0.8,8.7,8.7
VILA MARIANA,127286,127286,São Paulo,Zona Sul,[NaN],40662,12038,6587,2371,276,40569,13163,7707,3348,559,61936,65349,127286,233.0,546.2918454935623,0,78.3,1.7,31.0,14.0,78.3,0.8,8.7,8.7
CAMPO GRANDE,115925,115925,São Paulo,Zona Sul,[NaN],37032,10964,5999,2159,252,36948,11988,7019,3049,509,56408,59516,115925,213.0,544.2488262910798,0,71.6,4.5,34.0,39.0,71.6,,22.3,22.3
VILA MARIA,108543,108543,São Paulo,Zona Norte,[NaN],34674,10266,5617,2021,236,34595,11225,6572,2855,477,52816,55726,108543,201.0,540.0149253731344,0,66.2,9.3,38.0,16.0,67.4,13.0,34.4,34.4
