ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTABELECI,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS,Unnamed: 24,Unnamed: 25,DS_CATEGORIA_UNIDADE
1,-46490063,-23522787,355030864000052,3550308005143,65,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,BURGO PAULISTA -AMA ESPECIALIDADES,"JOSE SILVA ALCANTARA FILHO,R,1031",BURGO PAULISTA,22800080.0,3680000.0,6393608.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
2,-46773393,-23673297,355030819000016,3550308005232,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAPAO REDONDO - AMA ESPECIALIDADES,"SANTANA,COM,AV,774",JD. BOA ESPERANCA,58742846.0,5666000.0,6194974.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
3,-46651898,-23531575,355030869000001,3550308005027,70,SANTA CECILIA,9,SE,Centro,Centro,"HUMBERTO PASCALI,DR STA CECILIA - AMA ESPECIALIDADES","VITORINO CARMILO,R,599",CAMPOS ELISEOS,38260096.0,1153000.0,6138314.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
4,-46454974,-23538945,355030837000019,3550308005202,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,ITAQUERA-AMA ESPECIALIDADES,"AMERICO SALVADOR NOVELLI,R,265",ITAQUERA,62860015.0,8210090.0,6394558.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
5,-46539564,-23599363,355030872000050,3550308005158,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,JD GUAIRACA - AMA ESPECIALIDADES,"ERVA IMPERIAL,R,501",CID CONTINENTAL,,3244030.0,6759998.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
6,-46704938,-23743565,355030823000196,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD ICARAI I (QUINTANA) -AMA ESPECIALIDADES,"ROQUE DO PARAGUASSU,R,190",V QUINTANA,59280272.0,4837150.0,6360890.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
7,-46766027,-23630816,355030817000009,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JD PIRAJUSSARA-AMA ESPECIALIDADES,"AMADEU DA SILVA SAMELO,R,423",JARDIM MARTINICA,58436257.0,57601401.0,6998178.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
8,-46743017,-23659403,355030846000093,3550308005224,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JD SAO LUIS - AMA ESPECIALIDADES,"LUIS ANTONIO VERNEY,R,98",JD S+O LUIS,55111153.0,5846380.0,6200389.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
9,-46491950,-23586723,355030873000133,3550308005208,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,JD TIETE II - AMA ESPECIALIDADES,"AUGUSTO FERREIRA RAMOS,R,9",JD TIETE,29195248.0,3947030.0,6391869.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
10,-46757991,-23408249,355030861000009,3550308005243,62,PERUS,1,PERUS,Norte,Norte 1,PERUS - AMA ESPECIALIDADES,"MOGEIRO,R,207",PERUS,29014606.0,5208230.0,6391893.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
