bbox_west,bbox_south,bbox_east,bbox_north,place_id,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstype,name,display_name,geometry,centroide,centroide_lon,centroide_lat,distancia_km
-46.5581874,-23.5704925,-46.517149,-23.534897,8449587,relation,3049439,-23.5515305,-46.5377908,boundary,administrative,18,0.3811991110091234,city_district,Carrão,"Carrão, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5182277.116171839 -2699335.726582997, -5182277.116171839 -2699383.8220570646, -5182300.615716346 -2699353.3473258205, -5182315.142909894 -2699335.787302269, -5182315.297563364 -2699335.726582997, -5182277.116171839 -2699335.726582997))",POINT (-5182289.677404739 -2699351.6599881975),-46.553300239475014,-23.55562370543441,3.76
-46.5581874,-23.5704925,-46.517149,-23.534897,8449587,relation,3049439,-23.5515305,-46.5377908,boundary,administrative,18,0.3811991110091234,city_district,Carrão,"Carrão, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5182277.116171839 -2698728.5453997864, -5182277.116171839 -2699335.726582997, -5182315.297563364 -2699335.726582997, -5182337.351148307 -2699327.0680169794, -5182370.346245378 -2699324.493521398, -5182358.679962743 -2699171.3603566806, -5182346.535006299 -2699018.107225039, -5182348.761396114 -2699004.384948261, -5182416.371969682 -2698728.5453997864, -5182277.116171839 -2698728.5453997864))",POINT (-5182324.966767466 -2699006.5437794477),-46.55361724921406,-23.552781777517268,3.45
-46.5581874,-23.5704925,-46.517149,-23.534897,8449587,relation,3049439,-23.5515305,-46.5377908,boundary,administrative,18,0.3811991110091234,city_district,Carrão,"Carrão, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5182277.116171839 -2698121.3873108905, -5182277.116171839 -2698728.5453997864, -5182416.371969682 -2698728.5453997864, -5182462.641235195 -2698539.77747637, -5182492.586178219 -2698405.230843262, -5182493.476734145 -2698396.123485787, -5182562.680105832 -2698121.3873108905, -5182277.116171839 -2698121.3873108905))",POINT (-5182387.069762285 -2698390.499675337),-46.55417512990841,-23.547708687336915,3.76
-46.5581874,-23.5704925,-46.517149,-23.534897,8449587,relation,3049439,-23.5515305,-46.5377908,boundary,administrative,18,0.3811991110091234,city_district,Carrão,"Carrão, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5182277.116171839 -2697514.2523099286, -5182277.116171839 -2698121.3873108905, -5182562.680105832 -2698121.3873108905, -5182586.094550485 -2698028.433445607, -5182624.277135827 -2697903.241047915, -5182666.355903346 -2697804.27782004, -5182723.1399756 -2697534.8095234856, -5182728.1281498065 -2697514.2523099286, -5182277.116171839 -2697514.2523099286))",POINT (-5182467.390405462 -2697794.27278166),-46.554896662522374,-23.5427986044044,4.57
-46.5581874,-23.5704925,-46.517149,-23.534897,8449587,relation,3049439,-23.5515305,-46.5377908,boundary,administrative,18,0.3811991110091234,city_district,Carrão,"Carrão, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5182277.116171839 -2697514.2523099286, -5182728.1281498065 -2697514.2523099286, -5182833.713625805 -2697079.1207122705, -5182773.556572981 -2697067.96209102, -5182730.030652081 -2697061.648184735, -5182694.9650124805 -2697052.420172345, -5182659.955032626 -2697044.5642238953, -5182635.709647532 -2697040.3266273397, -5182581.430263821 -2697028.378796688, -5182523.644316151 -2697013.565441826, -5182411.43426943 -2696989.03844185, -5182277.116171839 -2696958.779421373, -5182277.116171839 -2697514.2523099286))",POINT (-5182520.592097912 -2697256.9548854716),-46.55537458145706,-23.538373495262842,4.66
-46.5581874,-23.5704925,-46.517149,-23.534897,8449587,relation,3049439,-23.5515305,-46.5377908,boundary,administrative,18,0.3811991110091234,city_district,Carrão,"Carrão, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","MULTIPOLYGON (((-5181721.2261082195 -2699335.726582997, -5181734.478182018 -2699337.6574560027, -5181792.586956212 -2699347.3361122636, -5181833.686112214 -2699363.09885485, -5181838.7412677575 -2699335.726582997, -5181721.2261082195 -2699335.726582997)), ((-5182277.116171839 -2699335.726582997, -5182135.3408190785 -2699335.726582997, -5182147.095006593 -2699347.238961356, -5182215.56762538 -2699412.0266041486, -5182220.220780095 -2699416.726299058, -5182238.221141756 -2699434.2621238064, -5182277.116171839 -2699383.8220570646, -5182277.116171839 -2699335.726582997)))",POINT (-5182164.042827093 -2699366.7017821553),-46.55217164486188,-23.555747568674594,3.76
-46.5581874,-23.5704925,-46.517149,-23.534897,8449587,relation,3049439,-23.5515305,-46.5377908,boundary,administrative,18,0.3811991110091234,city_district,Carrão,"Carrão, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5182277.116171839 -2699335.726582997, -5182277.116171839 -2698728.5453997864, -5181720.518717872 -2698728.5453997864, -5181720.518717872 -2699335.6235137824, -5181721.2261082195 -2699335.726582997, -5181838.7412677575 -2699335.726582997, -5181843.148268932 -2699311.8639264484, -5181853.723620556 -2699270.9392499374, -5181861.849943384 -2699249.687604717, -5181870.198905193 -2699236.69375558, -5181879.995020383 -2699226.4929842292, -5181892.462803353 -2699218.235221722, -5181909.5726090865 -2699210.827526637, -5181929.888416156 -2699207.038674087, -5181953.966822015 -2699205.4599857894, -5181971.68888495 -2699206.055029821, -5181992.672608965 -2699211.0339705516, -5182015.760271355 -2699221.3804572322, -5182031.946125316 -2699234.4593003453, -5182135.3408190785 -2699335.726582997, -5182277.116171839 -2699335.726582997))",POINT (-5182001.554634704 -2699010.627876918),-46.55071198859476,-23.552815409187765,3.17
-46.5581874,-23.5704925,-46.517149,-23.534897,8449587,relation,3049439,-23.5515305,-46.5377908,boundary,administrative,18,0.3811991110091234,city_district,Carrão,"Carrão, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5182277.116171839 -2698728.5453997864, -5182277.116171839 -2698121.3873108905, -5181720.518717872 -2698121.3873108905, -5181720.518717872 -2698728.5453997864, -5182277.116171839 -2698728.5453997864))",POINT (-5181998.817444855 -2698424.9663553387),-46.550687399999994,-23.547992523769683,3.16
-46.5581874,-23.5704925,-46.517149,-23.534897,8449587,relation,3049439,-23.5515305,-46.5377908,boundary,administrative,18,0.3811991110091234,city_district,Carrão,"Carrão, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5182277.116171839 -2698121.3873108905, -5182277.116171839 -2697514.2523099286, -5181720.518717872 -2697514.2523099286, -5181720.518717872 -2698121.3873108905, -5182277.116171839 -2698121.3873108905))",POINT (-5181998.817444854 -2697817.8198104096),-46.55068739999999,-23.54299252376402,4.05
-46.5581874,-23.5704925,-46.517149,-23.534897,8449587,relation,3049439,-23.5515305,-46.5377908,boundary,administrative,18,0.3811991110091234,city_district,Carrão,"Carrão, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5181720.518717872 -2696907.1403905232, -5181720.518717872 -2697514.2523099286, -5182277.116171839 -2697514.2523099286, -5182277.116171839 -2696958.779421373, -5182047.892817683 -2696907.1403905232, -5181720.518717872 -2696907.1403905232))",POINT (-5181995.218396786 -2697215.8008983945),-46.5506550692011,-23.53803456334933,5.18
