bbox_west,bbox_south,bbox_east,bbox_north,place_id,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstype,name,display_name,geometry,centroide,centroide_lon,centroide_lat,distancia_km
-46.477552,-23.556978,-46.4294138,-23.513474,8010704,relation,3049502,-23.5360799,-46.4555099,boundary,administrative,18,0.40257347745351757,suburb,Itaquera,"Itaquera, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5173300.8245039275 -2698301.771568068, -5173300.8245039275 -2698632.608249176, -5173308.839507265 -2698627.3305425104, -5173328.654376626 -2698613.00143641, -5173357.463860842 -2698600.360261113, -5173383.712996772 -2698580.445269424, -5173390.047075798 -2698566.869088112, -5173399.0973504 -2698523.420528204, -5173857.421957894 -2698516.098158176, -5173856.642721458 -2698511.605163303, -5173855.084248587 -2698444.453255489, -5173851.967302845 -2698392.8448383673, -5173846.735286777 -2698369.4086004994, -5173838.386324968 -2698345.486672974, -5173817.794748175 -2698301.771568068, -5173300.8245039275 -2698301.771568068))",POINT (-5173559.063067563 -2698421.1646994934),-46.47487179648663,-23.547961216797347,3.93
-46.477552,-23.556978,-46.4294138,-23.513474,8010704,relation,3049502,-23.5360799,-46.4555099,boundary,administrative,18,0.40257347745351757,suburb,Itaquera,"Itaquera, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5173300.8245039275 -2697694.629708348, -5173300.8245039275 -2698301.771568068, -5173817.794748175 -2698301.771568068, -5173794.326070513 -2698251.9486375116, -5173738.755380708 -2698133.9552492946, -5173684.097510728 -2698055.5120467776, -5173647.696037238 -2698005.96917007, -5173603.056921431 -2697953.2693179892, -5173568.213920812 -2697920.1195001528, -5173517.006955048 -2697881.991223348, -5173497.414724668 -2697859.0414445787, -5173486.616734061 -2697839.0059503987, -5173438.3302557515 -2697694.629708348, -5173300.8245039275 -2697694.629708348))",POINT (-5173488.105150383 -2698065.106823661),-46.474234370671304,-23.545029015632092,4.84
-46.477552,-23.556978,-46.4294138,-23.513474,8010704,relation,3049502,-23.5360799,-46.4555099,boundary,administrative,18,0.40257347745351757,suburb,Itaquera,"Itaquera, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5173300.8245039275 -2697087.510932078, -5173300.8245039275 -2697694.629708348, -5173438.3302557515 -2697694.629708348, -5173420.826915002 -2697642.2951607876, -5173386.206553365 -2697542.726425546, -5173379.7500229 -2697521.11280649, -5173377.857591556 -2697501.0777363004, -5173381.642454243 -2697478.735627065, -5173384.536761004 -2697467.686008507, -5173392.885722813 -2697455.5435793474, -5173472.49029068 -2697387.1697331136, -5173483.499788319 -2697372.732458669, -5173495.744932306 -2697346.9906728663, -5173502.6467407355 -2697330.2342496864, -5173535.9312684825 -2697278.872279475, -5173561.534751365 -2697242.3240277395, -5173570.885588592 -2697225.3127271337, -5173578.566633457 -2697202.1331896638, -5173590.822909392 -2697158.99189808, -5173590.36649948 -2697149.4359902656, -5173586.581636794 -2697136.565272132, -5173568.654146574 -2697087.510932078, -5173300.8245039275 -2697087.510932078))",POINT (-5173405.756618466 -2697322.7287245304),-46.473494621222855,-23.538915187091177,3.04
-46.477552,-23.556978,-46.4294138,-23.513474,8010704,relation,3049502,-23.5360799,-46.4555099,boundary,administrative,18,0.40257347745351757,suburb,Itaquera,"Itaquera, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5173300.8245039275 -2696480.4152328805, -5173300.8245039275 -2697087.510932078, -5173568.654146574 -2697087.510932078, -5173543.267222926 -2697018.045873117, -5173511.5523 -2696980.6604158347, -5173499.529794993 -2696964.9971615947, -5173473.258395166 -2696913.514945793, -5173454.668040204 -2696861.790056461, -5173436.077685241 -2696800.7160483217, -5173420.270317548 -2696732.9642409366, -5173413.368509119 -2696685.8538345736, -5173407.691215089 -2696622.3521407032, -5173405.1308668 -2696568.8069315264, -5173405.798783746 -2696526.675113064, -5173407.802534579 -2696498.992019062, -5173410.934126808 -2696480.4152328805, -5173300.8245039275 -2696480.4152328805))",POINT (-5173385.4644822525 -2696838.7323247707),-46.47331233386177,-23.534929098835953,3.34
-46.477552,-23.556978,-46.4294138,-23.513474,8010704,relation,3049502,-23.5360799,-46.4555099,boundary,administrative,18,0.40257347745351757,suburb,Itaquera,"Itaquera, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5173300.8245039275 -2695873.342604378, -5173300.8245039275 -2696480.4152328805, -5173410.934126808 -2696480.4152328805, -5173481.384717994 -2696062.5039614085, -5173513.757934539 -2695873.342604378, -5173300.8245039275 -2695873.342604378))",POINT (-5173384.22538461 -2696144.6800873945),-46.47330120285826,-23.529212825960368,4.13
-46.477552,-23.556978,-46.4294138,-23.513474,8010704,relation,3049502,-23.5360799,-46.4555099,boundary,administrative,18,0.40257347745351757,suburb,Itaquera,"Itaquera, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5173300.8245039275 -2695266.293040194, -5173300.8245039275 -2695873.342604378, -5173513.757934539 -2695873.342604378, -5173580.125106327 -2695485.5566823105, -5173616.383317437 -2695266.293040194, -5173300.8245039275 -2695266.293040194))",POINT (-5173434.815492217 -2695550.15823621),-46.47375566152716,-23.524316096288242,4.95
-46.477552,-23.556978,-46.4294138,-23.513474,8010704,relation,3049502,-23.5360799,-46.4555099,boundary,administrative,18,0.40257347745351757,suburb,Itaquera,"Itaquera, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5173300.8245039275 -2695266.293040194, -5173616.383317437 -2695266.293040194, -5173716.765961708 -2694659.2665339545, -5173667.689768252 -2694659.2665339545, -5173654.931804141 -2694666.5507153654, -5173651.347316537 -2694668.9423556533, -5173639.7923533935 -2694676.6271717916, -5173617.639774725 -2694697.0229102634, -5173608.288937498 -2694709.527453267, -5173595.487196057 -2694729.559023125, -5173514.44660676 -2694877.7934203264, -5173504.873130552 -2694890.0552952522, -5173496.19021027 -2694897.9466058733, -5173484.167705263 -2694904.8666814705, -5173474.928187528 -2694908.1446130616, -5173460.901931687 -2694910.208496261, -5173334.609969383 -2694924.655686115, -5173300.8245039275 -2694928.6259974157, -5173300.8245039275 -2695266.293040194))",POINT (-5173506.519775824 -2695025.873067366),-46.47439979206615,-23.519997714023788,5.28
-46.477552,-23.556978,-46.4294138,-23.513474,8010704,relation,3049502,-23.5360799,-46.4555099,boundary,administrative,18,0.40257347745351757,suburb,Itaquera,"Itaquera, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5173716.765961708 -2694659.2665339545, -5173721.022185825 -2694633.5291195475, -5173692.780431011 -2694644.940986859, -5173667.689768252 -2694659.2665339545, -5173716.765961708 -2694659.2665339545))",POINT (-5173701.141559125 -2694650.278624883),-46.47614810929177,-23.516903966311354,5.54
-46.477552,-23.556978,-46.4294138,-23.513474,8010704,relation,3049502,-23.5360799,-46.4555099,boundary,administrative,18,0.40257347745351757,suburb,Itaquera,"Itaquera, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5173300.8245039275 -2698301.771568068, -5172744.227049961 -2698301.771568068, -5172744.227049961 -2698650.5990205617, -5172769.38525488 -2698652.710092509, -5172780.62852345 -2698652.83152586, -5172840.518409497 -2698663.2747974647, -5172861.891751729 -2698664.4891318153, -5172930.464558058 -2698672.2608738486, -5172976.7734662285 -2698678.8182841334, -5173039.668978526 -2698684.404228351, -5173085.309969752 -2698697.7619289737, -5173128.61325167 -2698707.1123260586, -5173152.880900663 -2698711.119640773, -5173166.907156502 -2698711.2410745677, -5173178.929661509 -2698710.02673666, -5173210.655716385 -2698709.419567741, -5173221.565026483 -2698708.448097518, -5173226.574403568 -2698706.3837234923, -5173250.508094088 -2698685.011396319, -5173261.417404186 -2698673.3537753765, -5173264.089071966 -2698667.4035346345, -5173265.424905855 -2698660.8461290402, -5173268.207893126 -2698655.138759696, -5173278.226647297 -2698647.488459308, -5173300.8245039275 -2698632.608249176, -5173300.8245039275 -2698301.771568068))",POINT (-5173027.37360729 -2698491.349719115),-46.47009554880094,-23.548539195443755,2.81
-46.477552,-23.556978,-46.4294138,-23.513474,8010704,relation,3049502,-23.5360799,-46.4555099,boundary,administrative,18,0.40257347745351757,suburb,Itaquera,"Itaquera, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5173300.8245039275 -2698301.771568068, -5173300.8245039275 -2697694.629708348, -5172744.227049961 -2697694.629708348, -5172744.227049961 -2698301.771568068, -5173300.8245039275 -2698301.771568068))",POINT (-5173022.525776943 -2697998.2006382076),-46.47005199999999,-23.5444780237657,2.72
