codibge;ano;sexo;Idade;obito
3500105;2024;Homens;00 a 04;1
3500105;2024;Homens;05 a 09;0
3500105;2024;Homens;10 a 14;0
3500105;2024;Homens;15 a 19;0
3500105;2024;Homens;20 a 24;2
3500105;2024;Homens;25 a 29;1
3500105;2024;Homens;30 a 34;2
3500105;2024;Homens;35 a 39;4
3500105;2024;Homens;40 a 44;4
3500105;2024;Homens;45 a 49;6
3500105;2024;Homens;50 a 54;8
3500105;2024;Homens;55 a 59;10
3500105;2024;Homens;60 a 64;14
3500105;2024;Homens;65 a 69;17
3500105;2024;Homens;70 a 74;18
3500105;2024;Homens;75 a 79;31
3500105;2024;Homens;80 a 84;23
3500105;2024;Homens;85 a 89;18
3500105;2024;Homens;90 e mais;21
3500105;2024;Homens;Idade Ignorada;1
3500204;2024;Homens;00 a 04;1
3500204;2024;Homens;05 a 09;0
3500204;2024;Homens;10 a 14;0
3500204;2024;Homens;15 a 19;0
3500204;2024;Homens;20 a 24;0
3500204;2024;Homens;25 a 29;2
3500204;2024;Homens;30 a 34;1
3500204;2024;Homens;35 a 39;0
3500204;2024;Homens;40 a 44;0
3500204;2024;Homens;45 a 49;0
3500204;2024;Homens;50 a 54;0
3500204;2024;Homens;55 a 59;2
3500204;2024;Homens;60 a 64;2
3500204;2024;Homens;65 a 69;2
3500204;2024;Homens;70 a 74;0
3500204;2024;Homens;75 a 79;3
3500204;2024;Homens;80 a 84;1
3500204;2024;Homens;85 a 89;3
3500204;2024;Homens;90 e mais;1
3500204;2024;Homens;Idade Ignorada;0
3500303;2024;Homens;00 a 04;3
3500303;2024;Homens;05 a 09;1
3500303;2024;Homens;10 a 14;0
3500303;2024;Homens;15 a 19;1
3500303;2024;Homens;20 a 24;3
3500303;2024;Homens;25 a 29;1
3500303;2024;Homens;30 a 34;0
3500303;2024;Homens;35 a 39;2
3500303;2024;Homens;40 a 44;3
3500303;2024;Homens;45 a 49;6
3500303;2024;Homens;50 a 54;12
3500303;2024;Homens;55 a 59;12
3500303;2024;Homens;60 a 64;22
3500303;2024;Homens;65 a 69;13
3500303;2024;Homens;70 a 74;16
3500303;2024;Homens;75 a 79;15
3500303;2024;Homens;80 a 84;6
3500303;2024;Homens;85 a 89;9
3500303;2024;Homens;90 e mais;10
3500303;2024;Homens;Idade Ignorada;0
3500501;2024;Homens;00 a 04;1
3500501;2024;Homens;05 a 09;0
3500501;2024;Homens;10 a 14;0
3500501;2024;Homens;15 a 19;0
3500501;2024;Homens;20 a 24;0
3500501;2024;Homens;25 a 29;1
3500501;2024;Homens;30 a 34;3
3500501;2024;Homens;35 a 39;4
3500501;2024;Homens;40 a 44;1
3500501;2024;Homens;45 a 49;3
3500501;2024;Homens;50 a 54;4
3500501;2024;Homens;55 a 59;4
3500501;2024;Homens;60 a 64;13
3500501;2024;Homens;65 a 69;15
3500501;2024;Homens;70 a 74;18
3500501;2024;Homens;75 a 79;9
3500501;2024;Homens;80 a 84;9
3500501;2024;Homens;85 a 89;11
3500501;2024;Homens;90 e mais;14
3500501;2024;Homens;Idade Ignorada;0
3500550;2024;Homens;00 a 04;0
3500550;2024;Homens;05 a 09;1
3500550;2024;Homens;10 a 14;0
3500550;2024;Homens;15 a 19;0
3500550;2024;Homens;20 a 24;0
3500550;2024;Homens;25 a 29;0
3500550;2024;Homens;30 a 34;2
3500550;2024;Homens;35 a 39;1
3500550;2024;Homens;40 a 44;1
3500550;2024;Homens;45 a 49;0
3500550;2024;Homens;50 a 54;2
3500550;2024;Homens;55 a 59;3
3500550;2024;Homens;60 a 64;2
3500550;2024;Homens;65 a 69;7
3500550;2024;Homens;70 a 74;6
3500550;2024;Homens;75 a 79;6
3500550;2024;Homens;80 a 84;10
3500550;2024;Homens;85 a 89;2
3500550;2024;Homens;90 e mais;4
3500550;2024;Homens;Idade Ignorada;0
3500600;2024;Homens;00 a 04;0
3500600;2024;Homens;05 a 09;0
3500600;2024;Homens;10 a 14;0
3500600;2024;Homens;15 a 19;0
3500600;2024;Homens;20 a 24;1
3500600;2024;Homens;25 a 29;0
3500600;2024;Homens;30 a 34;0
3500600;2024;Homens;35 a 39;0
3500600;2024;Homens;40 a 44;0
3500600;2024;Homens;45 a 49;1
3500600;2024;Homens;50 a 54;0
3500600;2024;Homens;55 a 59;2
3500600;2024;Homens;60 a 64;1
3500600;2024;Homens;65 a 69;2
3500600;2024;Homens;70 a 74;2
3500600;2024;Homens;75 a 79;2
3500600;2024;Homens;80 a 84;3
3500600;2024;Homens;85 a 89;2
3500600;2024;Homens;90 e mais;4
3500600;2024;Homens;Idade Ignorada;0
3500709;2024;Homens;00 a 04;1
3500709;2024;Homens;05 a 09;1
3500709;2024;Homens;10 a 14;0
3500709;2024;Homens;15 a 19;1
3500709;2024;Homens;20 a 24;1
3500709;2024;Homens;25 a 29;0
3500709;2024;Homens;30 a 34;1
3500709;2024;Homens;35 a 39;5
3500709;2024;Homens;40 a 44;5
3500709;2024;Homens;45 a 49;8
3500709;2024;Homens;50 a 54;11
3500709;2024;Homens;55 a 59;11
3500709;2024;Homens;60 a 64;12
3500709;2024;Homens;65 a 69;19
3500709;2024;Homens;70 a 74;21
3500709;2024;Homens;75 a 79;16
3500709;2024;Homens;80 a 84;12
3500709;2024;Homens;85 a 89;8
3500709;2024;Homens;90 e mais;10
3500709;2024;Homens;Idade Ignorada;0
3500808;2024;Homens;00 a 04;2
3500808;2024;Homens;05 a 09;0
3500808;2024;Homens;10 a 14;0
3500808;2024;Homens;15 a 19;0
3500808;2024;Homens;20 a 24;0
3500808;2024;Homens;25 a 29;1
3500808;2024;Homens;30 a 34;0
3500808;2024;Homens;35 a 39;0
3500808;2024;Homens;40 a 44;0
3500808;2024;Homens;45 a 49;2
3500808;2024;Homens;50 a 54;0
3500808;2024;Homens;55 a 59;1
3500808;2024;Homens;60 a 64;0
3500808;2024;Homens;65 a 69;4
3500808;2024;Homens;70 a 74;2
3500808;2024;Homens;75 a 79;3
3500808;2024;Homens;80 a 84;2
3500808;2024;Homens;85 a 89;4
3500808;2024;Homens;90 e mais;2
3500808;2024;Homens;Idade Ignorada;0
3500907;2024;Homens;00 a 04;0
3500907;2024;Homens;05 a 09;0
3500907;2024;Homens;10 a 14;0
3500907;2024;Homens;15 a 19;0
3500907;2024;Homens;20 a 24;0
3500907;2024;Homens;25 a 29;1
3500907;2024;Homens;30 a 34;0
3500907;2024;Homens;35 a 39;1
3500907;2024;Homens;40 a 44;1
3500907;2024;Homens;45 a 49;0
3500907;2024;Homens;50 a 54;0
3500907;2024;Homens;55 a 59;0
3500907;2024;Homens;60 a 64;1
3500907;2024;Homens;65 a 69;0
3500907;2024;Homens;70 a 74;2
3500907;2024;Homens;75 a 79;0
3500907;2024;Homens;80 a 84;0
3500907;2024;Homens;85 a 89;1
3500907;2024;Homens;90 e mais;0
3500907;2024;Homens;Idade Ignorada;0
3501004;2024;Homens;00 a 04;0
3501004;2024;Homens;05 a 09;0
3501004;2024;Homens;10 a 14;0
3501004;2024;Homens;15 a 19;0
3501004;2024;Homens;20 a 24;5
3501004;2024;Homens;25 a 29;1
3501004;2024;Homens;30 a 34;0
3501004;2024;Homens;35 a 39;0
3501004;2024;Homens;40 a 44;4
3501004;2024;Homens;45 a 49;4
3501004;2024;Homens;50 a 54;2
3501004;2024;Homens;55 a 59;3
3501004;2024;Homens;60 a 64;5
3501004;2024;Homens;65 a 69;5
3501004;2024;Homens;70 a 74;14
3501004;2024;Homens;75 a 79;7
3501004;2024;Homens;80 a 84;5
3501004;2024;Homens;85 a 89;10
3501004;2024;Homens;90 e mais;5
3501004;2024;Homens;Idade Ignorada;0
3501103;2024;Homens;00 a 04;0
3501103;2024;Homens;05 a 09;0
3501103;2024;Homens;10 a 14;0
3501103;2024;Homens;15 a 19;0
3501103;2024;Homens;20 a 24;2
3501103;2024;Homens;25 a 29;0
3501103;2024;Homens;30 a 34;0
3501103;2024;Homens;35 a 39;0
3501103;2024;Homens;40 a 44;0
3501103;2024;Homens;45 a 49;0
3501103;2024;Homens;50 a 54;0
3501103;2024;Homens;55 a 59;2
3501103;2024;Homens;60 a 64;1
3501103;2024;Homens;65 a 69;2
3501103;2024;Homens;70 a 74;2
3501103;2024;Homens;75 a 79;3
3501103;2024;Homens;80 a 84;6
3501103;2024;Homens;85 a 89;3
3501103;2024;Homens;90 e mais;1
3501103;2024;Homens;Idade Ignorada;0
3501152;2024;Homens;00 a 04;0
3501152;2024;Homens;05 a 09;0
3501152;2024;Homens;10 a 14;0
3501152;2024;Homens;15 a 19;0
3501152;2024;Homens;20 a 24;0
3501152;2024;Homens;25 a 29;1
3501152;2024;Homens;30 a 34;2
3501152;2024;Homens;35 a 39;3
3501152;2024;Homens;40 a 44;2
3501152;2024;Homens;45 a 49;5
3501152;2024;Homens;50 a 54;0
3501152;2024;Homens;55 a 59;5
3501152;2024;Homens;60 a 64;13
3501152;2024;Homens;65 a 69;5
3501152;2024;Homens;70 a 74;13
3501152;2024;Homens;75 a 79;5
3501152;2024;Homens;80 a 84;8
3501152;2024;Homens;85 a 89;9
3501152;2024;Homens;90 e mais;4
3501152;2024;Homens;Idade Ignorada;0
3501202;2024;Homens;00 a 04;0
3501202;2024;Homens;05 a 09;0
3501202;2024;Homens;10 a 14;0
3501202;2024;Homens;15 a 19;0
3501202;2024;Homens;20 a 24;0
3501202;2024;Homens;25 a 29;0
3501202;2024;Homens;30 a 34;0
3501202;2024;Homens;35 a 39;0
3501202;2024;Homens;40 a 44;0
3501202;2024;Homens;45 a 49;2
3501202;2024;Homens;50 a 54;1
3501202;2024;Homens;55 a 59;2
3501202;2024;Homens;60 a 64;8
3501202;2024;Homens;65 a 69;2
3501202;2024;Homens;70 a 74;5
3501202;2024;Homens;75 a 79;5
3501202;2024;Homens;80 a 84;5
3501202;2024;Homens;85 a 89;3
3501202;2024;Homens;90 e mais;1
3501202;2024;Homens;Idade Ignorada;0
3501301;2024;Homens;00 a 04;3
3501301;2024;Homens;05 a 09;0
3501301;2024;Homens;10 a 14;1
3501301;2024;Homens;15 a 19;0
3501301;2024;Homens;20 a 24;1
3501301;2024;Homens;25 a 29;0
3501301;2024;Homens;30 a 34;2
3501301;2024;Homens;35 a 39;6
3501301;2024;Homens;40 a 44;4
3501301;2024;Homens;45 a 49;6
3501301;2024;Homens;50 a 54;7
3501301;2024;Homens;55 a 59;10
3501301;2024;Homens;60 a 64;15
3501301;2024;Homens;65 a 69;3
3501301;2024;Homens;70 a 74;13
3501301;2024;Homens;75 a 79;15
3501301;2024;Homens;80 a 84;18
3501301;2024;Homens;85 a 89;13
3501301;2024;Homens;90 e mais;6
3501301;2024;Homens;Idade Ignorada;0
3501400;2024;Homens;00 a 04;0
3501400;2024;Homens;05 a 09;0
3501400;2024;Homens;10 a 14;0
3501400;2024;Homens;15 a 19;0
3501400;2024;Homens;20 a 24;0
3501400;2024;Homens;25 a 29;0
3501400;2024;Homens;30 a 34;0
3501400;2024;Homens;35 a 39;2
3501400;2024;Homens;40 a 44;1
3501400;2024;Homens;45 a 49;2
3501400;2024;Homens;50 a 54;0
3501400;2024;Homens;55 a 59;2
3501400;2024;Homens;60 a 64;1
3501400;2024;Homens;65 a 69;0
3501400;2024;Homens;70 a 74;6
3501400;2024;Homens;75 a 79;1
3501400;2024;Homens;80 a 84;2
3501400;2024;Homens;85 a 89;0
3501400;2024;Homens;90 e mais;1
3501400;2024;Homens;Idade Ignorada;0
3501608;2024;Homens;00 a 04;14
3501608;2024;Homens;05 a 09;0
3501608;2024;Homens;10 a 14;0
3501608;2024;Homens;15 a 19;4
3501608;2024;Homens;20 a 24;14
3501608;2024;Homens;25 a 29;14
3501608;2024;Homens;30 a 34;16
3501608;2024;Homens;35 a 39;19
3501608;2024;Homens;40 a 44;33
3501608;2024;Homens;45 a 49;24
3501608;2024;Homens;50 a 54;47
3501608;2024;Homens;55 a 59;67
3501608;2024;Homens;60 a 64;95
3501608;2024;Homens;65 a 69;101
3501608;2024;Homens;70 a 74;117
3501608;2024;Homens;75 a 79;115
3501608;2024;Homens;80 a 84;119
3501608;2024;Homens;85 a 89;86
3501608;2024;Homens;90 e mais;58
3501608;2024;Homens;Idade Ignorada;0
3501707;2024;Homens;00 a 04;2
3501707;2024;Homens;05 a 09;0
3501707;2024;Homens;10 a 14;0
3501707;2024;Homens;15 a 19;1
3501707;2024;Homens;20 a 24;5
3501707;2024;Homens;25 a 29;1
3501707;2024;Homens;30 a 34;5
3501707;2024;Homens;35 a 39;4
3501707;2024;Homens;40 a 44;6
3501707;2024;Homens;45 a 49;6
3501707;2024;Homens;50 a 54;6
3501707;2024;Homens;55 a 59;12
3501707;2024;Homens;60 a 64;15
3501707;2024;Homens;65 a 69;15
3501707;2024;Homens;70 a 74;15
3501707;2024;Homens;75 a 79;12
3501707;2024;Homens;80 a 84;12
3501707;2024;Homens;85 a 89;6
3501707;2024;Homens;90 e mais;7
3501707;2024;Homens;Idade Ignorada;0
3501806;2024;Homens;00 a 04;1
3501806;2024;Homens;05 a 09;0
3501806;2024;Homens;10 a 14;0
3501806;2024;Homens;15 a 19;0
3501806;2024;Homens;20 a 24;0
3501806;2024;Homens;25 a 29;1
3501806;2024;Homens;30 a 34;0
3501806;2024;Homens;35 a 39;1
3501806;2024;Homens;40 a 44;1
3501806;2024;Homens;45 a 49;1
3501806;2024;Homens;50 a 54;2
3501806;2024;Homens;55 a 59;2
3501806;2024;Homens;60 a 64;2
3501806;2024;Homens;65 a 69;6
3501806;2024;Homens;70 a 74;5
3501806;2024;Homens;75 a 79;7
3501806;2024;Homens;80 a 84;11
3501806;2024;Homens;85 a 89;2
3501806;2024;Homens;90 e mais;5
3501806;2024;Homens;Idade Ignorada;0
3501905;2024;Homens;00 a 04;5
3501905;2024;Homens;05 a 09;1
3501905;2024;Homens;10 a 14;2
3501905;2024;Homens;15 a 19;3
3501905;2024;Homens;20 a 24;0
3501905;2024;Homens;25 a 29;0
3501905;2024;Homens;30 a 34;7
3501905;2024;Homens;35 a 39;5
3501905;2024;Homens;40 a 44;7
3501905;2024;Homens;45 a 49;16
3501905;2024;Homens;50 a 54;18
3501905;2024;Homens;55 a 59;23
3501905;2024;Homens;60 a 64;35
3501905;2024;Homens;65 a 69;41
3501905;2024;Homens;70 a 74;41
3501905;2024;Homens;75 a 79;55
3501905;2024;Homens;80 a 84;39
3501905;2024;Homens;85 a 89;29
3501905;2024;Homens;90 e mais;20
3501905;2024;Homens;Idade Ignorada;0
3502101;2024;Homens;00 a 04;2
3502101;2024;Homens;05 a 09;0
