Faixa Etária,Homens,Mulheres
Mais de 100 anos,917,2317
95 a 99 anos,4534,12323
90 a 94 anos,20758,45806
85 a 89 anos,63558,121030
80 a 84 anos,150452,246113
75 a 79 anos,246532,354796
70 a 74 anos,371655,484550
65 a 69 anos,499180,609906
60 a 64 anos,705940,831069
55 a 59 anos,930303,1057688
50 a 54 anos,1149501,1286603
45 a 49 anos,1308852,1444270
40 a 44 anos,1444231,1536444
35 a 39 anos,1549270,1634852
30 a 34 anos,1741346,1815101
25 a 29 anos,1881495,1908293
20 a 24 anos,1835222,1802466
15 a 19 anos,1667482,1636426
10 a 14 anos,1687826,1637087
5 a 9 anos,1457203,1403430
0 a 4 anos,1361616,1313756
