DISTRITO,POP. TOTAL 2022,POP. URB. 2022,CIDADE,DS_ZONA_SP,ENDERECO,QT_HOMENS_<=19,QT_HOMENS_20_34,QT_HOMENS_34_50,QT_HOMENS_50_64,QT_HOMENS_65+,QT_MULHERES_<=19,QT_MULHERES_20_34,QT_MULHERES_34_50,QT_MULHERES_50_64,QT_MULHERES_65+,TOTAL_HOMENS,TOTAL_MULHERES,TOTAL_GERAL
ARICANDUVA,89574,89574,São Paulo,Zona Leste,"[""JOAO DE OLIVEIRA MELLO,CEL,R,440"", ""MIGUEL BASTOS SOARES,R,365"", ""EDGAR MAGALHAES NORONHA,DR,R,200""]",194,1668,4635,8471,28614,393,2356,5424,9263,28549,43586,45987,89574
ARTUR ALVIM,95575,95575,São Paulo,Zona Leste,"[""NICOLO TARTAGLIA,R,45"", ""FRANCISCO DE TOLEDO,PE,AV,545"", ""NICOLAU DA FONSECA,IRMAO,R,33"", ""HENRIQUE JACOBS,R,269"", ""JAPANI,R,7"", ""COELHO DE CASTRO,R,95"", ""REBELO DA SILVA,R,121"", ""SYLVIO TORRES,AV,313""]",207,1780,4946,9039,30532,420,2514,5787,9884,30462,46506,49068,95575
BELÉM,55785,55785,São Paulo,Zona Leste,[NaN],121,1039,2887,5276,17820,245,1467,3378,5769,17780,27144,28640,55785
CANGAÍBA,141172,141172,São Paulo,Zona Leste,[NaN],307,2629,7306,13352,45098,620,3713,8548,14599,44995,68693,72478,141172
CARRÃO,84397,84397,São Paulo,Zona Leste,[NaN],183,1572,4367,7982,26961,371,2220,5110,8728,26899,41066,43330,84397
CIDADE LÍDER,136660,136660,São Paulo,Zona Leste,[NaN],297,2545,7072,12925,43656,601,3595,8275,14133,43557,66497,70162,136660
CIDADE TIRADENTES,194177,194160,São Paulo,Zona Leste,"[""CADERNO DE VIAGEM,R,55"", ""FRANCISCO CARDOSO JR,R,10"", ""GUILHERME DE ABREU SOBRE,DR,R,485"", ""FERNANDO GANGA,R,14"", ""LUIS BORDESE,R,96"", ""METALURGICOS,DOS,AV,1797"", ""TEXTEIS,DOS,AV,3765"", ""FRANCISCO JOSE VIANA,R,708"", ""INACIO PINTO LIMA,R,35"", ""LUIS BORDESE,R,63"", ""METALURGICOS,DOS,AV,2820"", ""MANUEL MOSCOSO,R,15"", ""ESTRADA DO IGUATEMI, 2751"", ""EDUARDO REUTER,R,678"", ""TEXTEIS,DOS,AV,512"", ""MANOEL OLIVEIRA RAMOS,R, S/N"", ""GONCALVES NINA,R,58"", ""INACIO DE MOMTEIRO, S/N""]",422,3617,10049,18365,62031,854,5108,11758,20081,61889,94485,99691,194177
ERMELINO MATARAZZO,112333,112333,São Paulo,Zona Leste,"[""JOSE GOES NOGUEIRA,R,70"", ""RODRIGO DE BRUM,AL,1989"", ""OLAVO EGIDIO SOUZA ARANHA,AV,630"", ""BOTURUSSU,AV,168"", ""JO+O ANTONIO ANDRADE,R, 804"", ""RODRIGO DE BRUNN,AL,36"", ""RODRIGO DE BRUN,AL,1989"", ""MIGUEL RACHID,596"", ""OVIDIO LOPES,253"", ""ANTONIO DE FREITAS TOLEDO, R., 170"", ""PAULO BIFANO ALVES,R,764"", ""LUCAS GONCALVES,R, 13"", ""LAJEDO,R, 123"", ""CACULE,R,79""]",244,2092,5813,10624,35885,494,2955,6802,11617,35803,54660,57672,112333
GUAIANASES,109316,109264,São Paulo,Zona Leste,"[""MACABU,R,35"", ""UTARO KANAI,R,286"", ""EVALDO CALABREZ, R,205"", ""SERRA DO MAR,R,56"", ""FRANCISCO PINHEIRO,PROF,R,139"", ""CENTRALINA,R,168"", ""OTELO AUGUSTO REIBEIRO, R,899"", ""FELICIANO DE MENDONCA,R,496"", ""JORGE MARACCINI PONFILIO,R,S/N"", ""ALDEIA MARIA,R,258"", ""HIPOLITO DE CAMARGO,R,180"", ""FRANCISCO PINHEIRO, R., 223"", ""CARLOS RUHL,CTE,R,189""]",237,2036,5657,10339,34921,480,2875,6619,11305,34842,53192,56123,109316
IGUATEMI,149700,149376,São Paulo,Zona Leste,"[""SOMOS TODOS IGUAIS,R, 330"", ""BENTO GUELFI, AV,1100"", ""PONTE DA AMIZADE,R,2"", ""SIMAO NUNES,R,31"", ""RAGUEB CHOHFI,AV,3826"", ""PEDRO ROMAZZANI, R,03""]",325,2788,7747,14158,47822,658,3938,9065,15481,47713,72842,76857,149700
