DISTRITO;POP. TOTAL 2022;POP. URB. 2022;CIDADE;DS_ZONA_SP;QT_HOMENS_<=19;QT_HOMENS_20_34;QT_HOMENS_34_50;QT_HOMENS_50_64;QT_HOMENS_65+;QT_MULHERES_<=19;QT_MULHERES_20_34;QT_MULHERES_34_50;QT_MULHERES_50_64;QT_MULHERES_65+;TOTAL_HOMENS;TOTAL_MULHERES;TOTAL_GERAL;LEITOS;FL_PERIFERIA;IDADE MÉDIA AO MORRER_x;PROPORÇÃO ADOLESCENTE GRÁVIDAS(%);TEMPO MÉDIO DESLOCAMENTO NO TRANSPORTE IDA AO TRABALHO (MIN);TEMPO MÉDIO ATÉ AGENDAMENTO DE CONSULTAS (DIAS);DOMICÍLIOS EM FAVELAS (%);POPULAÇÃO PRETA E PARDA (%)_y
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;2.0;0;78.3;1.7;31.0;14.0;0.8;8.7
VILA MARIA;108543;108543;São Paulo;Zona Norte;34674;10266;5617;2021;236;34595;11225;6572;2855;477;52816;55726;108543;2.0;0;66.2;9.3;38.0;16.0;13.0;34.4
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;4.0;0;78.3;1.7;31.0;14.0;0.8;8.7
SAPOPEMBA;266715;266715;São Paulo;Zona Leste;85203;25225;13803;4968;580;85009;27583;16151;7016;1173;129781;136933;266715;50.0;0;65.4;9.9;50.0;26.0;19.0;41.7
IPIRANGA;116271;116271;São Paulo;Zona Sul;37143;10996;6017;2165;252;37058;12024;7040;3058;511;56576;59694;116271;28.0;0;73.5;5.4;32.0;31.0;;22.0
LIBERDADE;66056;66056;São Paulo;Zona Central;21101;6247;3418;1230;143;21053;6831;4000;1737;290;32142;33913;66056;16.0;0;73.6;4.1;33.0;35.0;0.3;17.9
IPIRANGA;116271;116271;São Paulo;Zona Sul;37143;10996;6017;2165;252;37058;12024;7040;3058;511;56576;59694;116271;30.0;0;73.5;5.4;32.0;31.0;;22.0
MOEMA;81899;81899;São Paulo;Zona Sul;26163;7746;4238;1525;178;26103;8469;4959;2154;360;39851;42047;81899;22.0;0;79.8;0.4;31.0;23.0;0.0;5.8
VILA ANDRADE;168669;168669;São Paulo;Zona Sul;53882;15952;8729;3141;366;53759;17443;10213;4437;741;82073;86595;168669;49.0;0;65.9;8.4;40.0;7.0;32.7;41.4
CAMBUCI;45163;45163;São Paulo;Zona Sul;14427;4271;2337;841;98;14394;4670;2734;1188;198;21975;23187;45163;14.0;0;;;;;0.0;21.0
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;45.0;0;78.3;1.7;31.0;14.0;0.8;8.7
MOOCA;80880;80880;São Paulo;Zona Leste;25837;7649;4185;1506;175;25778;8364;4897;2127;355;39355;41524;80880;31.0;0;74.9;4.5;32.0;9.0;0.2;12.3
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;50.0;0;78.3;1.7;31.0;14.0;0.8;8.7
VILA MATILDE;103558;103558;São Paulo;Zona Leste;33082;9794;5359;1929;225;33006;10709;6271;2724;455;50390;53167;103558;42.0;0;71.6;6.3;41.0;26.0;0.6;25.4
IPIRANGA;116271;116271;São Paulo;Zona Sul;37143;10996;6017;2165;252;37058;12024;7040;3058;511;56576;59694;116271;50.0;0;73.5;5.4;32.0;31.0;;22.0
PIRITUBA;179724;179724;São Paulo;Zona Oeste;57413;16998;9301;3347;390;57283;18586;10883;4727;790;87452;92271;179724;103.0;0;67.9;7.2;46.0;21.0;;31.3
RIO PEQUENO;131631;131631;São Paulo;Zona Oeste;42050;12449;6812;2452;286;41954;13613;7971;3462;578;64050;67580;131631;81.0;0;68.7;;39.0;6.0;20.4;32.8
JABAQUARA;214982;214982;São Paulo;Zona Sul;68677;20333;11125;4004;467;68520;22233;13018;5655;945;104608;110373;214982;153.0;0;69.6;7.9;37.0;19.0;16.4;34.7
SAPOPEMBA;266715;266715;São Paulo;Zona Leste;85203;25225;13803;4968;580;85009;27583;16151;7016;1173;129781;136933;266715;199.0;0;65.4;9.9;50.0;26.0;19.0;41.7
PIRITUBA;179724;179724;São Paulo;Zona Oeste;57413;16998;9301;3347;390;57283;18586;10883;4727;790;87452;92271;179724;136.0;0;67.9;7.2;46.0;21.0;;31.3
CIDADE DUTRA;182459;182438;São Paulo;Zona Sul;58287;17256;9442;3398;396;58154;18869;11048;4799;802;88783;93675;182459;141.0;0;65.6;9.5;46.0;16.0;8.7;45.5
MOEMA;81899;81899;São Paulo;Zona Sul;26163;7746;4238;1525;178;26103;8469;4959;2154;360;39851;42047;81899;64.0;0;79.8;0.4;31.0;23.0;0.0;5.8
MORUMBI;43690;43690;São Paulo;Zona Sul;13957;4132;2261;813;95;13925;4518;2645;1149;192;21259;22430;43690;38.0;0;71.9;8.8;35.0;3.0;14.6;19.5
ITAQUERA;210960;210960;São Paulo;Zona Leste;67392;19952;10917;3929;458;67238;21817;12774;5549;927;102651;108308;210960;185.0;0;65.3;8.1;51.0;33.0;;45.7
LIBERDADE;66056;66056;São Paulo;Zona Central;21101;6247;3418;1230;143;21053;6831;4000;1737;290;32142;33913;66056;62.0;0;73.6;4.1;33.0;35.0;0.3;17.9
JABAQUARA;214982;214982;São Paulo;Zona Sul;68677;20333;11125;4004;467;68520;22233;13018;5655;945;104608;110373;214982;210.0;0;69.6;7.9;37.0;19.0;16.4;34.7
BELA VISTA;60024;60024;São Paulo;Zona Central;19175;5677;3106;1118;130;19131;6207;3634;1579;263;29207;30816;60024;64.0;0;73.9;5.8;30.0;29.0;0.0;21.6
MOOCA;80880;80880;São Paulo;Zona Leste;25837;7649;4185;1506;175;25778;8364;4897;2127;355;39355;41524;80880;90.0;0;74.9;4.5;32.0;9.0;0.2;12.3
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;146.0;0;78.3;1.7;31.0;14.0;0.8;8.7
CIDADE TIRADENTES;194177;194160;São Paulo;Zona Leste;62031;18365;10049;3617;422;61889;20081;11758;5108;854;94485;99691;194177;223.0;0;59.4;13.3;69.0;19.0;;56.1
CACHOEIRINHA;143366;143366;São Paulo;Zona Oeste;45799;13559;7419;2670;311;45694;14826;8681;3771;630;69760;73605;143366;176.0;0;63.7;9.3;45.0;26.0;20.0;43.3
LIBERDADE;66056;66056;São Paulo;Zona Central;21101;6247;3418;1230;143;21053;6831;4000;1737;290;32142;33913;66056;83.0;0;73.6;4.1;33.0;35.0;0.3;17.9
JARDIM PAULISTA;81859;81859;São Paulo;Zona Sul;26150;7742;4236;1524;178;26090;8465;4957;2153;360;39831;42027;81859;104.0;0;80.0;1.3;32.0;;0.0;8.5
CACHOEIRINHA;143366;143366;São Paulo;Zona Oeste;45799;13559;7419;2670;311;45694;14826;8681;3771;630;69760;73605;143366;183.0;0;63.7;9.3;45.0;26.0;20.0;43.3
MOOCA;80880;80880;São Paulo;Zona Leste;25837;7649;4185;1506;175;25778;8364;4897;2127;355;39355;41524;80880;104.0;0;74.9;4.5;32.0;9.0;0.2;12.3
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;168.0;0;78.3;1.7;31.0;14.0;0.8;8.7
ITAIM PAULISTA;205295;205295;São Paulo;Zona Leste;65582;19416;10624;3824;446;65433;21231;12431;5400;902;99894;105400;205294;307.0;0;64.2;10.5;63.0;20.0;;54.8
PENHA;132452;132452;São Paulo;Zona Leste;42312;12527;6854;2467;288;42216;13698;8020;3484;582;64450;68001;132452;203.0;0;71.3;7.3;37.0;29.0;;23.9
SANTO AMARO;85349;85349;São Paulo;Zona Sul;27265;8072;4417;1589;185;27203;8826;5168;2245;375;41530;43818;85349;132.0;0;78.2;1.5;29.0;26.0;0.2;10.3
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;204.0;0;78.3;1.7;31.0;14.0;0.8;8.7
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;233.0;0;78.3;1.7;31.0;14.0;0.8;8.7
CAMPO GRANDE;115925;115925;São Paulo;Zona Sul;37032;10964;5999;2159;252;36948;11988;7019;3049;509;56408;59516;115925;213.0;0;71.6;4.5;34.0;39.0;;22.3
VILA MARIA;108543;108543;São Paulo;Zona Norte;34674;10266;5617;2021;236;34595;11225;6572;2855;477;52816;55726;108543;201.0;0;66.2;9.3;38.0;16.0;13.0;34.4
VILA PRUDENTE;105690;105690;São Paulo;Zona Leste;33763;9996;5469;1968;229;33686;10930;6400;2780;464;51427;54262;105690;202.0;0;71.9;5.3;36.0;21.0;;19.0
IPIRANGA;116271;116271;São Paulo;Zona Sul;37143;10996;6017;2165;252;37058;12024;7040;3058;511;56576;59694;116271;235.0;0;73.5;5.4;32.0;31.0;;22.0
SANTANA;115689;115689;São Paulo;Zona Norte;36957;10941;5987;2155;251;36873;11964;7005;3043;508;56293;59395;115689;251.0;0;74.8;2.3;33.0;37.0;0.2;14.5
GUAIANASES;109316;109264;São Paulo;Zona Leste;34921;10339;5657;2036;237;34842;11305;6619;2875;480;53192;56123;109316;263.0;0;61.2;11.0;60.0;17.0;;51.5
ERMELINO MATARAZZO;112333;112333;São Paulo;Zona Leste;35885;10624;5813;2092;244;35803;11617;6802;2955;494;54660;57672;112333;280.0;0;65.1;8.6;51.0;17.0;8.6;43.0
BELA VISTA;60024;60024;São Paulo;Zona Central;19175;5677;3106;1118;130;19131;6207;3634;1579;263;29207;30816;60024;151.0;0;73.9;5.8;30.0;29.0;0.0;21.6
